Sr. No.,Work category,Work ID,State,IDA,Hon'ble Members of Parliament,Constituency,Work description,Recommended date,Sanction Date,Sanction Amount ( ₹ ),Work Status,Sanction Amount,clean_id,total_disbursed,expenditure_records,vendor_count,completed_disbursed,completion_date,completed,effective_disbursed,spending_percentage,recommendation_delay_days,completion_duration_days,cost_vs_category,cost_vs_state,amount_per_payment,description_clean,duplicate_description_count,max_vendor_project_count,status_text,incomplete,physical_inspection,partially_completed,anomaly,anomaly_score,AI Risk,AI Reasons
2094,Normal/Others,WS/MP18019/2026-2027/139500-Construction of community centers and community halls,Assam,DIMA HASAO(DEPUTY COMMISSIONER Dima Hasao_IDA),AMARSING TISSO,Diphu (ST),"Construction of Community Building with Library, Guest Room, Conference Room at Haflong, Dima Hasao District (Total Estd. Cost:- Rs. 1.00 Cr.) 1st Installment Rs. 50.00 Lakhs",2024-09-06,2026-07-31,5000000.0,Physical Inspection,5000000.0,WS/MP18019/2026-2027/139500,4998740.0,2.0,2.0,0.0,,0,4998740.0,99.9748,693.0,0.0,16.666666666666668,11.121120119218407,2499370.0,construction of community building with library guest room conference room at haflong dima hasao district total estd cost rs 100 cr 1st installment rs 5000 lakhs,1.0,1,physical inspection,1,1,0,-1,-0.18563943189799492,REVIEW,High spending while project remains incomplete; Sanction amount is unusually high for this work category; Sanction amount is unusually high compared with similar works in the state; Unusually long recommendation-to-sanction delay; Physical inspection status with incomplete project
286,Normal/Others,WS/MP345/2024-2025/135013-Construction of buildings for community cultural activities,Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri NK Premachandran,KOLLAM,"Construction of Building for Kadamancode ST Gothra Kalalaya Samskarika Granthasala, Kadamancodu ward 12 in Kulathupuzha GP in Punalur Constituency",2024-08-08,2025-03-13,2500000.0,Work partially Completed,2500000.0,WS/MP345/2024-2025/135013,1325973.0,1.0,1.0,0.0,,0,1325973.0,53.03892,217.0,0.0,8.333333333333334,11.372372413353894,1325973.0,construction of building for kadamancode st gothra kalalaya samskarika granthasala kadamancodu ward 12 in kulathupuzha gp in punalur constituency,1.0,1,work partially completed,1,0,1,-1,-0.16493177096335399,REVIEW,Sanction amount is unusually high for this work category; Sanction amount is unusually high compared with similar works in the state; Unusually long recommendation-to-sanction delay; Project is partially completed
4180,Normal/Others,"WS/MP18307/2025-2026/143603-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Piyush Vedprakash Goyal,MUMBAI NORTH,"Ward 2 -Construction of Drains and footpaths at Sai Kripa Chawl, Sambhaji Nagar, Dubey Chawl, Babli Pada, Tare Compound, Raja Ram Mhatre Chawl  Bharwad Chawl Dahisar",2024-09-25,2026-01-30,2500000.0,Work partially Completed,2500000.0,WS/MP18307/2025-2026/143603,2498104.0,1.0,1.0,0.0,,0,2498104.0,99.92416,492.0,0.0,8.333333333333334,2.5,2498104.0,ward 2 construction of drains and footpaths at sai kripa chawl sambhaji nagar dubey chawl babli pada tare compound raja ram mhatre chawl bharwad chawl dahisar,1.0,1,work partially completed,1,0,1,-1,-0.15803216328488257,REVIEW,High spending while project remains incomplete; Sanction amount is unusually high for this work category; Unusually long recommendation-to-sanction delay; Project is partially completed
4182,Normal/Others,"WS/MP18307/2025-2026/143607-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Piyush Vedprakash Goyal,MUMBAI NORTH,"Ward 7 -   Construction of Sewer and CC Passage Loading at Brahmadev Tiwari Chawl, Shagun Hotel, Nawagaon, Dahisar",2024-09-25,2026-03-25,2000000.0,Work partially Completed,2000000.0,WS/MP18307/2025-2026/143607,1998481.0,1.0,1.0,0.0,,0,1998481.0,99.92405,546.0,0.0,6.666666666666667,2.0,1998481.0,ward 7 construction of sewer and cc passage loading at brahmadev tiwari chawl shagun hotel nawagaon dahisar,1.0,1,work partially completed,1,0,1,-1,-0.15544814496226778,REVIEW,High spending while project remains incomplete; Sanction amount is unusually high for this work category; Unusually long recommendation-to-sanction delay; Project is partially completed
5073,Normal/Others,WS/MP18308/2025-2026/145425-Construction of toilet blocks,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),RAVINDRA DATTARAM WAIKAR,MUMBAI NORTH WEST,"Construction of 14 seated Toilet block at Shri Hanuman Tekadi Seva Mandal, Shankar Desai Chawl, Tanaji Nagar, Malad (E)",2024-10-08,2026-03-25,2100000.0,Work partially Completed,2100000.0,WS/MP18308/2025-2026/145425,2098407.0,1.0,1.0,0.0,,0,2098407.0,99.92414285714287,533.0,0.0,7.0,2.1,2098407.0,construction of 14 seated toilet block at shri hanuman tekadi seva mandal shankar desai chawl tanaji nagar malad e,1.0,1,work partially completed,1,0,1,-1,-0.15528759162250472,REVIEW,High spending while project remains incomplete; Sanction amount is unusually high for this work category; Unusually long recommendation-to-sanction delay; Project is partially completed
5077,Normal/Others,WS/MP18308/2025-2026/145430-Construction of community centers and community halls,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),RAVINDRA DATTARAM WAIKAR,MUMBAI NORTH WEST,"Construction of Samaj Mandir, at Shri Sai Chawl  committee , Tanaji Nagar, Kurar Village, Malad (E)",2024-10-08,2026-03-25,2000000.0,Work partially Completed,2000000.0,WS/MP18308/2025-2026/145430,1998481.0,1.0,1.0,0.0,,0,1998481.0,99.92405,533.0,0.0,6.666666666666667,2.0,1998481.0,construction of samaj mandir at shri sai chawl committee tanaji nagar kurar village malad e,1.0,1,work partially completed,1,0,1,-1,-0.15496659355075815,REVIEW,High spending while project remains incomplete; Sanction amount is unusually high for this work category; Unusually long recommendation-to-sanction delay; Project is partially completed
5119,Normal/Others,WS/MP384/2024-2025/145488-Construction of boundary walls of existing public and community buildings,Rajasthan,BIKANER(DISTRICT COLLECTOR BIKANER_IDA),Shri Arjun Ram Meghwal,BIKANER(SC),"Shrii Chainayati Brahaman Mahasangh Ki Gaurav Path Bikaner par sthit Bhumi ki Chaardiwari may Gate Nirman Kaary, Jaipur Road, Bikaner  working agency : Shri Chainayati Mahasangh Bikaner  Contact Person : Shri Parasar Naryan Sharma, President Shri Chainayati Mahasangh Bikaner   Shri Sampat Pareek, BJP leader, Bikaner",2024-10-04,2025-01-08,2500000.0,Work partially Completed,2500000.0,WS/MP384/2024-2025/145488,502861.0,1.0,1.0,0.0,,0,502861.0,20.114440000000002,96.0,0.0,8.333333333333334,6.25,502861.0,shrii chainayati brahaman mahasangh ki gaurav path bikaner par sthit bhumi ki chaardiwari may gate nirman kaary jaipur road bikaner working agency shri chainayati mahasangh bikaner contact person shri parasar naryan sharma president shri chainayati mahasangh bikaner shri sampat pareek bjp leader bikaner,1.0,1,work partially completed,1,0,1,-1,-0.15100949459473456,REVIEW,Sanction amount is unusually high for this work category; Sanction amount is unusually high compared with similar works in the state; Project is partially completed
4177,Normal/Others,WS/MP18307/2025-2026/143600-Tree plantation for community,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Piyush Vedprakash Goyal,MUMBAI NORTH,Ward 47- Beautification works at Ganga Building Link Road Malad (West),2024-09-25,2026-03-25,1500000.0,Work partially Completed,1500000.0,WS/MP18307/2025-2026/143600,1498862.0,1.0,1.0,0.0,,0,1498862.0,99.92413333333333,546.0,0.0,5.0,1.5,1498862.0,ward 47 beautification works at ganga building link road malad west,1.0,1,work partially completed,1,0,1,-1,-0.1504086493616965,REVIEW,High spending while project remains incomplete; Sanction amount is unusually high for this work category; Unusually long recommendation-to-sanction delay; Project is partially completed
4183,Normal/Others,WS/MP18307/2025-2026/143608-Construction of public toilets and bathrooms,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Piyush Vedprakash Goyal,MUMBAI NORTH,Ward 36- Re-construction of Toilet at near Madras Pada Kandivali (East),2024-09-25,2026-01-30,2000000.0,Work partially Completed,2000000.0,WS/MP18307/2025-2026/143608,1998482.0,1.0,1.0,0.0,,0,1998482.0,99.92410000000001,492.0,0.0,6.666666666666667,2.0,1998482.0,ward 36 reconstruction of toilet at near madras pada kandivali east,1.0,1,work partially completed,1,0,1,-1,-0.15000959382124157,REVIEW,High spending while project remains incomplete; Sanction amount is unusually high for this work category; Unusually long recommendation-to-sanction delay; Project is partially completed
5632,Normal/Others,"WS/MP18307/2025-2026/146575-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Piyush Vedprakash Goyal,MUMBAI NORTH,Ward 27  - Construction of of Sewerage and CC Passage at Nirmal Chawl Kandivali (East),2024-10-09,2026-01-30,2000000.0,Work partially Completed,2000000.0,WS/MP18307/2025-2026/146575,1998482.0,1.0,1.0,0.0,,0,1998482.0,99.92410000000001,478.0,0.0,6.666666666666667,2.0,1998482.0,ward 27 construction of of sewerage and cc passage at nirmal chawl kandivali east,1.0,1,work partially completed,1,0,1,-1,-0.14985026689293635,REVIEW,High spending while project remains incomplete; Sanction amount is unusually high for this work category; Unusually long recommendation-to-sanction delay; Project is partially completed
