work_id,Work category,State,Hon'ble Members of Parliament,Constituency,Work description,Recommended date,Sanction Date,sanction_amount,Work Status,total_disbursed,spending_percentage,vendor_count,expenditure_records,completion_date,completed,completion_days,expected_completion_days,elapsed_days,delay_days,completion_status,rule_score,ml_score,ml_flag,risk_score,risk_interval,risk_level,risk_reasons
WS/MP370/2024-2025/145537,Normal/Others,Odisha,Shri Jual Oram,SUNDARGARH (ST),Const. of CC Building at Chungimati,04-Oct-2024,11-Dec-2024,700000.0,Physical Inspection,684869.0,97.83842857142857,7.0,9.0,,False,,209.5,643.0,0.0,Ongoing beyond benchmark,70,90.83257908163837,ANOMALY,78.3,70-80,HIGH,High spending but project is not completed | Project has remained ongoing significantly longer than the historical benchmark | Multiple vendors involved | Large proportion of funds disbursed while work remains incomplete
WS/MP479/2024-2025/138772,Normal/Others,West Bengal,Saumitra khan,BISHNUPUR(SC),Boundary fencing & 4Nos.of Solar Lights,04-Sep-2024,13-Dec-2024,2774787.0,Physical Inspection,2774787.0,100.0,1.0,1.0,,False,,209.5,641.0,0.0,Ongoing beyond benchmark,60,91.94393747720933,ANOMALY,72.8,70-80,HIGH,High spending but project is not completed | Project has remained ongoing significantly longer than the historical benchmark | Large proportion of funds disbursed while work remains incomplete
WS/MP18112/2024-2025/136984,Normal/Others,Maharashtra,BALWANT BASWANT WANKHADE,AMRAVATI(SC),Construction Of Community Hall At Chincholi Rahimapur (Kh)Ta. Anjangaon Surji Dist Amravati,25-Aug-2024,14-Oct-2024,1500000.0,Work Completed,1496534.0,99.76893333333334,1.0,2.0,,False,,209.5,701.0,0.0,Ongoing beyond benchmark,60,90.94075516777166,ANOMALY,72.4,70-80,HIGH,High spending but project is not completed | Project has remained ongoing significantly longer than the historical benchmark | Large proportion of funds disbursed while work remains incomplete
WS/MP18311/2024-2025/143656,Normal/Others,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,Construction of community center at village Nurpur Kalan,28-Oct-2024,21-Nov-2024,700000.0,Work partially Completed,700000.0,100.0,4.0,13.0,,False,,209.5,663.0,0.0,Ongoing beyond benchmark,60,90.86718059501405,ANOMALY,72.3,70-80,HIGH,High spending but project is not completed | Project has remained ongoing significantly longer than the historical benchmark | Large proportion of funds disbursed while work remains incomplete
WS/MP18173/2024-2025/137922,Normal/Others,Tamil Nadu,THARANIVENTHAN M S,ARANI,Construction of Bus Shelter at S.V. Nagar Panchayat,05-Sep-2024,02-Jan-2025,1500000.0,Vendor Identification,1499550.0,99.97,1.0,1.0,,False,,209.5,621.0,0.0,Ongoing beyond benchmark,60,88.1387173063484,ANOMALY,71.3,70-80,HIGH,High spending but project is not completed | Project has remained ongoing significantly longer than the historical benchmark | Large proportion of funds disbursed while work remains incomplete
WS/MP18065/2025-2026/135808,Normal/Others,Haryana,DEEPENDER SINGH HOODA,ROHTAK,Development works in Sakshi Malik Gym Hall,16-Aug-2024,04-Aug-2025,500000.0,Vendor Identification,498512.0,99.7024,2.0,2.0,,False,,209.5,407.0,0.0,Ongoing beyond benchmark,60,86.3544462718531,ANOMALY,70.5,70-80,HIGH,High spending but project is not completed | Project has remained ongoing significantly longer than the historical benchmark | Large proportion of funds disbursed while work remains incomplete
WS/MP18133/2025-2026/148512,Normal/Others,Maharashtra,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,SATARA,Creation of Crematorium shed and Smashan Bhumi Dahini at Jadhav Mali at Atake.,02-Jan-2025,22-Apr-2025,1000000.0,Physical Inspection,995310.0,99.531,1.0,1.0,,False,,209.5,511.0,0.0,Ongoing beyond benchmark,60,85.37699206278867,ANOMALY,70.2,70-80,HIGH,High spending but project is not completed | Project has remained ongoing significantly longer than the historical benchmark | Large proportion of funds disbursed while work remains incomplete
WS/MP18133/2025-2026/148566,Normal/Others,Maharashtra,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,SATARA,Creation of Concrete Road at Kalambe,02-Jan-2025,22-Apr-2025,1000000.0,Physical Inspection,1000000.0,100.0,1.0,1.0,,False,,209.5,511.0,0.0,Ongoing beyond benchmark,60,85.26192552649084,ANOMALY,70.1,70-80,HIGH,High spending but project is not completed | Project has remained ongoing significantly longer than the historical benchmark | Large proportion of funds disbursed while work remains incomplete
WS/MP18133/2025-2026/148457,Normal/Others,Maharashtra,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,SATARA,Construction of Road and Closed drainage Behind Vitthal Ward Mandir,02-Jan-2025,22-Apr-2025,1000000.0,Physical Inspection,1000000.0,100.0,1.0,1.0,,False,,209.5,511.0,0.0,Ongoing beyond benchmark,60,85.26192552649084,ANOMALY,70.1,70-80,HIGH,High spending but project is not completed | Project has remained ongoing significantly longer than the historical benchmark | Large proportion of funds disbursed while work remains incomplete
WS/MP661/2025-2026/147454,Normal/Others,Maharashtra,Amol Ramsing Kolhe,SHIRUR,Construction of Mahila Asmita Bhavan community hall at Siddhagavhan,15-Oct-2024,22-Apr-2025,1000000.0,Physical Inspection,919303.0,91.9303,1.0,1.0,,False,,209.5,511.0,0.0,Ongoing beyond benchmark,60,84.74844741883105,ANOMALY,69.9,60-70,HIGH,High spending but project is not completed | Project has remained ongoing significantly longer than the historical benchmark | Large proportion of funds disbursed while work remains incomplete
WS/MP384/2024-2025/145480,Normal/Others,Rajasthan,Shri Arjun Ram Meghwal,BIKANER(SC),"Sarwajanik Chilaay Mata Mandir ke Pass Hall may Baramada Nirman Karya, Jhanjheu   Working Agency : Gram Panchayat Jodhasar",04-Oct-2024,06-Jan-2025,1000000.0,Work partially Completed,999841.0,99.9841,1.0,1.0,,False,,209.5,617.0,0.0,Ongoing beyond benchmark,60,84.15751145651862,ANOMALY,69.7,60-70,HIGH,High spending but project is not completed | Project has remained ongoing significantly longer than the historical benchmark | Large proportion of funds disbursed while work remains incomplete
WS/MP353/2024-2025/143936,Normal/Others,Kerala,Adv Dean Kuriakose,IDUKKI,"Concreting of Mundakkattu Francis pady part in Poothakali-Kannadippara road in KonnathadyPanchayathu, AdimalyBlock.",27-Sep-2024,11-Dec-2024,877632.0,Physical Inspection,877632.0,100.0,1.0,1.0,,False,,209.5,643.0,0.0,Ongoing beyond benchmark,60,83.52332735162656,ANOMALY,69.4,60-70,HIGH,High spending but project is not completed | Project has remained ongoing significantly longer than the historical benchmark | Large proportion of funds disbursed while work remains incomplete
WS/MP826/2024-2025/135689,Normal/Others,West Bengal,Raju Bista,DARJEELING,"COnstruction of Road with drainage systems at Sukna Part-II, near Sukna Community Hall  Ref: Hemawati Tamang (8759964663) & Surjamani Brahman (7719232082), Members Sukna GP",16-Aug-2024,12-Mar-2025,858881.0,Physical Inspection,858881.0,100.0,1.0,1.0,,False,,209.5,552.0,0.0,Ongoing beyond benchmark,60,83.0751739310573,ANOMALY,69.2,60-70,HIGH,High spending but project is not completed | Project has remained ongoing significantly longer than the historical benchmark | Large proportion of funds disbursed while work remains incomplete
WS/MP18176/2024-2025/139719,Normal/Others,Tamil Nadu,SACHITHANANTHAM R,DINDIGUL,CONSTRUCTION OF DRAMA STAGE SERVEEDU PUDUR @ VELAMPATTI,07-Sep-2024,12-Mar-2025,847547.0,Physical Inspection,847547.0,100.0,1.0,1.0,,False,,209.5,552.0,0.0,Ongoing beyond benchmark,60,83.0751739310573,ANOMALY,69.2,60-70,HIGH,High spending but project is not completed | Project has remained ongoing significantly longer than the historical benchmark | Large proportion of funds disbursed while work remains incomplete
